Country,Timestamp,Device Category,Key Actions,Page Path,Source,Avg Session Duration,Bounce Rate,Conversions,New Users,Page Views,Returning Users,Unique Page Views,Average time on home page (min),Website,Date,Time,Day
india,2019-01-01 05:01:00,mobile,purchase,/home,direct,137.0,35.0,42.0,804.0,1984.0,307.0,243.0,4.41,amazon.com,2019-01-01,05:01:00,tuesday
usa,2019-01-01 07:52:00,tablet,sign up,/products,referral,179.0,53.0,15.0,438.0,1938.0,190.0,1194.0,4.89,amazon prime,2019-01-01,07:52:00,tuesday
india,2019-02-01 06:55:00,mobile,sign up,/contact,organic search,84.0,49.0,2.0,878.0,1078.0,191.0,450.0,4.35,amazon prime,2019-02-01,06:55:00,wednesday
india,2019-03-01 18:09:00,mobile,subscribe,/contact,social media,168.0,35.0,15.0,779.0,372.0,135.0,479.0,5.66,amazon web services (aws),2019-03-01,18:09:00,thursday
india,2019-03-01 23:36:00,desktop,contact form,/contact,direct,118.0,42.0,40.0,570.0,1225.0,20.0,147.0,5.19,aws support,2019-03-01,23:36:00,thursday
india,2019-04-01 08:46:00,desktop,sign up,/about,direct,160.0,48.0,33.0,208.0,1678.0,167.0,709.0,5.54,amazon music,2019-04-01,08:46:00,friday
uk,2019-04-01 09:46:00,mobile,purchase,/blog,organic search,67.0,20.0,4.0,635.0,1291.0,432.0,451.0,0.9,amazon.com,2019-04-01,09:46:00,friday
canada,2019-04-01 15:14:00,mobile,sign up,/home,referral,76.0,56.0,19.0,673.0,1271.0,282.0,866.0,2.49,amazon.com,2019-04-01,15:14:00,friday
australia,2019-05-01 02:55:00,mobile,download,/about,social media,110.0,42.0,20.0,232.0,1307.0,335.0,1066.0,4.58,prime video,2019-05-01,02:55:00,saturday
india,2019-05-01 04:28:00,mobile,purchase,/contact,organic search,136.0,58.0,31.0,83.0,525.0,425.0,1453.0,4.29,amazon.com,2019-05-01,04:28:00,saturday
uk,2019-05-01 04:58:00,tablet,contact form,/home,paid search,174.0,51.0,11.0,647.0,609.0,405.0,1394.0,1.0,amazon support,2019-05-01,04:58:00,saturday
india,2019-05-01 07:15:00,mobile,subscribe,/about,direct,158.0,61.0,31.0,48.0,1673.0,291.0,841.0,3.87,audible,2019-05-01,07:15:00,saturday
india,2019-05-01 08:39:00,mobile,sign up,/about,social media,80.0,39.0,7.0,994.0,1438.0,482.0,881.0,4.46,amazon.com,2019-05-01,08:39:00,saturday
australia,2019-05-01 12:52:00,mobile,subscribe,/blog,paid search,68.0,57.0,6.0,568.0,1220.0,244.0,111.0,2.23,amazon web services (aws),2019-05-01,12:52:00,saturday
canada,2019-06-01 02:45:00,mobile,purchase,/home,referral,171.0,43.0,32.0,810.0,737.0,415.0,778.0,5.83,amazon.com,2019-06-01,02:45:00,sunday
